other,surveil,adshex,squawk_1,name,reg,notes,
0.521,0.479,ADFCC8,5772,,,,
0.5245,0.4755,AC9CB9,0,BERNALILLO COUNTY SHERIFF'S DEPT,N911ZZ,Local law enforcement,
0.5275,0.4725,A07BEE,1200,,,,
0.528,0.472,A65FCB,0,SAN MATEO COUNTY SHERIFF'S OFFICE,N51HF,Local law enforcement,
0.528,0.472,A94BBC,4401,MIDWEST AERIAL IMAGING,N6987A,DHS front,
0.531,0.469,A98F57,1200,ACE AVIATION LLC,N715HH,,
0.5325,0.4675,A0761C,0,SKY LIFT AVIATION LLC,N129LA,Skydiving,
0.5325,0.4675,ACD5A1,4536,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,N926NA,"NASA aircraft that may be involved in testing military equipment, see https://theaviationist.com/tag/n926na/",
0.533,0.467,A64D4B,4604,GLOBAL GEO MAPPING INC,N505J,DHS front,
0.537,0.463,A0371C,0,ARNE AVIATION LLC,N1128L,Skydiving,
0.5395,0.4605,A231B9,4613,UTAH STATE UNIVERSITY,N240TS,University,
0.541,0.459,A9DA21,1200,C & R AIRCRAFT LLP,N734CH,,
0.5425,0.4575,A2465B,0,LLOYD V OREE INC,N246AT,,
0.5435,0.4565,A084A4,5226,SUNSHINE HELICOPTERS INC,N132WS,Helicopter tours,
0.5455,0.4545,A6918C,0,UNIVERSITY OF NORTH DAKOTA,N522ND,University,
0.5455,0.4545,A536D6,1200,SOUTHWEST AVIATION SOLUTIONS LLC,N435MT,,
0.547,0.453,A07CB3,5372,OSCAR CHARLIE II LLC,N130RL,,
0.547,0.453,A00948,0,TAUN-TAUN TRANSPORTATION LLC,N101JW,,
0.5485,0.4515,A4F17E,1200,HARDING ROY A DBA,N4177R,Helicopter tours,
0.5505,0.4495,A287FC,0,SUNDANCE AIRPORT LLC,N262SA,,
0.554,0.446,A56412,2451,AVIATION SPECIALTIES INC,N4466A,Linked to rendition flights by CIA,
0.5575,0.4425,A94471,4401,MIDWEST AERIAL IMAGING,N6968A,DHS front,
0.5615,0.4385,ABA8EC,0,MAXIM AVIATION LLC,N850SD,Skydiving,
